scan_id,created_at,latitude,longitude,geopixel,scanned_device_id,name,type,model,os_version,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,osi_model_layer4_security_posture_assessment,osi_model_layer5_security_posture_assessment,osi_model_layer6_security_posture_assessment,osi_model_layer7_security_posture_assessment,cve_css_total_score,os_os_security_assessment,os_mta_security_assessment,os_web_server_security_assessment,gdpr_processing_probability,gdpr_profiling_probability,ec_council_attack_phase_detected_reconnaissance,ec_council_attack_phase_detected_scanning,ia_confidentiality_assessment,ia_authenticity_assessment,ia_integrity_assessment,ia_availability_assessment,device_total_security_score
437874,1697976657,49.81,19.365,97_416,1359845,"Samsung Galaxy S10 Plus",smartphone,"Galaxy S10 Plus",android-10.2.0_r10,0.53,0.43,0.89,0.78,0.46,0.88,0.74,5.6714285714286,0.86666666666667,,1,1,1,,,1,,,,0.7787037037037
437874,1697976657,49.81,19.365,97_416,1359846,,,,,0.58,0.61,0.54,0.48,0.83,0.37,0.76,4.8714285714286,1,,1,1,1,,,,,,,0.785
437873,1698570959,53.15,14.353,72_443,1359843,"LG V40 ThinQ",smartphone,"V40 ThinQ",android-4.0.0_r0,0.47,0.56,0.63,0.43,0.46,0.48,0.84,4.3285714285714,0.93333333333333,,1,1,1,,,,,,,0.75185185185185
437873,1698570959,53.15,14.353,72_443,1359844,"generic ",router,,,0.31,0.3,0.8,0.33,0.76,0.47,0.84,4.2428571428571,1,,1,1,1,,,,,,,0.76166666666667
437872,1697633048,53.77,21.088,106_449,1359842,"HTC Evo",smartphone,Evo,android-11.0.0_r36,0.72,0.36,0.72,0.65,0.78,0.62,0.86,5.5,1,,1,1,1,,,,,,,0.80333333333333
437871,1695780474,49.21,16.767,84_411,1359840,"Xiaomi Mi 11 Pro",smartphone,"Mi 11 Pro",android-5.0.0_r39,0.38,0.44,0.6,0.75,0.89,0.75,0.73,5.4428571428571,1,,1,0.77777777777778,1,,,0.93939393939394,,,,0.80666666666667
437871,1695780474,49.21,16.767,84_411,1359841,"generic ",band,,,0.56,0.89,0.36,0.36,0.43,0.41,0.35,4.3,1,,0.53333333333333,0.88888888888889,0.93333333333333,,,0.96969696969697,,,,0.75185185185185
437870,1696395179,51.33,23.852,120_428,1359839,"Samsung Galaxy Note 7",smartphone,"Galaxy Note 7",android-8.0.7_r18,0.71,0.36,0.5,0.58,0.79,0.5,0.36,4.9142857142857,1,,1,1,1,,,,,,,0.80055555555556
437869,1696358311,49.46,17.504,88_413,1359837,"Samsung Galaxy S10",smartphone,"Galaxy S10",android-8.0.0_r9,0.83,0.89,0.47,0.54,0.5,0.77,0.62,5.7142857142857,0.8,,1,1,1,,,,,,,0.73722222222222
437869,1696358311,49.46,17.504,88_413,1359838,"QNAP TS-453D-4G",storage,TS-453D-4G,,0.71,0.51,0.46,0.32,0.62,0.71,0.44,4.7571428571429,1,,1,1,1,,,,,,,0.78222222222222
437868,1695958879,50.92,17.283,87_425,1359835,"Nokia 3",smartphone,3,android-10.0.0_r19,0.8,0.45,0.79,0.76,0.56,0.58,0.71,5.6285714285714,1,,1,1,0.53333333333333,,,,,,,0.81111111111111
437868,1695958879,50.92,17.283,87_425,1359836,"generic ",ap,,,0.65,0.31,0.51,0.31,0.59,0.43,0.6,4,1,,1,0,0.26666666666667,,,0.84848484848485,,,,0.75888888888889
437867,1696741993,54.99,21.511,108_459,1359834,"Samsung Galaxy S8",smartphone,"Galaxy S8",android-7.0.0_r38,0.33,0.88,0.3,0.49,0.87,0.44,0.35,4.7285714285714,0.93333333333333,,1,1,0.86666666666667,,,,,,,0.75518518518519
437866,1699096107,54.48,20.962,105_454,1359832,"Motorola G5S",smartphone,G5S,android-7.0.0_r27,0.45,0.48,0.46,0.79,0.77,0.49,0.52,4.9142857142857,0.8,,1,1,1,,,,,,,0.70277777777778
