geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment,score,score2
100_408,0.5931578947368421,0.5602631578947368,0.5668421052631579,0.5052631578947374,0.9052631578947362,1,1
100_409,0.5981428571428571,0.5773571428571428,0.6019285714285714,0.5062959183673466,0.895714285714285,1,1
100_410,0.5977439024390244,0.5711585365853659,0.5926829268292683,0.513301393728223,0.8963414634146335,1,1
100_411,0.5882578397212544,0.5847735191637631,0.6089895470383275,0.5103534096565459,0.906852497096399,1,1
100_412,0.5891780821917808,0.5844292237442922,0.6093607305936073,0.5084866275277236,0.9038051750380512,1,1
100_413,0.5946206896551725,0.5702758620689655,0.6197931034482759,0.5072709359605913,0.8983908045977005,1,1
100_414,0.58,0.5971153846153846,0.5980288461538461,0.5110027472527474,0.9124999999999995,1,1
100_415,0.6069037656903766,0.5971548117154811,0.5979916317991631,0.5147220561864914,0.8934449093444902,1,1
100_416,0.5752582159624413,0.5864319248826291,0.5826760563380282,0.5019248826291078,0.9092331768388103,1,1
100_417,0.5886551724137932,0.5982413793103448,0.5945172413793103,0.510497536945813,0.9036781609195398,1,1
100_418,0.5916140350877194,0.6074736842105263,0.6018245614035088,0.5128421052631579,0.9122807017543856,1,1
100_419,0.6013194444444445,0.5934722222222222,0.5870486111111111,0.5114087301587299,0.9027777777777772,1,1
100_420,0.5880821917808219,0.591917808219178,0.6042123287671233,0.5076516634050878,0.9061643835616433,1,1
100_421,0.6026829268292683,0.5817421602787457,0.6002090592334495,0.5076306620209061,0.9166085946573745,1,1
100_422,0.596294964028777,0.5904676258992806,0.5797841726618705,0.508792394655704,0.9059952038369298,1,1
100_423,0.5726696832579186,0.5898642533936652,0.6047963800904977,0.5054945054945056,0.906485671191553,1,1
100_424,0.6041129032258065,0.5934677419354839,0.5798387096774194,0.5092396313364054,0.9037634408602148,1,1
100_425,0.6030526315789474,0.6009473684210527,0.5887368421052631,0.5168571428571433,0.8947368421052628,1,1
100_426,0.5939568345323741,0.582158273381295,0.6061151079136691,0.5105241521068862,0.9011990407673854,1,1
100_427,0.5979389312977099,0.5837404580152672,0.6083206106870229,0.5090512540894219,0.9114503816793891,1,1
100_428,0.6139189189189189,0.5962837837837838,0.6048648648648648,0.5181756756756756,0.9004504504504504,1,1
100_429,0.6074050632911392,0.5860759493670886,0.6144303797468355,0.5126491862567814,0.9046413502109701,1,1
100_430,0.5826548672566372,0.5952212389380531,0.5833185840707965,0.5046080910240203,0.9070796460176984,1,1
100_431,0.5987771739130434,0.5833423913043478,0.604375,0.509782608695652,0.9114130434782605,1,1
100_432,0.6039009287925696,0.5880804953560371,0.594860681114551,0.5088146837682441,0.9122807017543854,1,1
100_433,0.5890029325513196,0.5885043988269795,0.5933724340175953,0.5083368244658567,0.9045943304007814,1,1
100_434,0.5985221674876847,0.6070443349753695,0.5725615763546799,0.5073680506685433,0.9008210180623967,1,1
100_435,0.6242735042735044,0.5866666666666667,0.5694017094017094,0.5084737484737484,0.8940170940170937,1,1
100_436,0.602175925925926,0.6174999999999999,0.6024537037037037,0.5202050264550262,0.911728395061728,1,1
100_437,0.5846408839779006,0.590939226519337,0.5932044198895028,0.5062904498816104,0.8987108655616938,1,1
100_438,0.5969421487603306,0.5796694214876034,0.6050413223140495,0.5117355371900829,0.9008264462809911,1,1
100_439,0.644920634920635,0.5913492063492064,0.6174603174603175,0.5222335600907031,0.8973544973544966,1,1
100_440,0.5975694444444444,0.5843750000000001,0.5968055555555556,0.5082043650793656,0.9046296296296291,1,1
100_441,0.5875294117647059,0.5624705882352942,0.6135294117647059,0.5005882352941178,0.9160784313725487,1,1
100_442,0.5800000000000001,0.5855652173913044,0.6014782608695652,0.5092795031055901,0.8910144927536224,1,1
100_443,0.59,0.6195,0.6063571428571428,0.5237959183673473,0.9028571428571424,1,1
100_444,0.596488888888889,0.6032888888888889,0.6103555555555557,0.5164761904761904,0.8992592592592586,1,1
100_445,0.608171206225681,0.5908171206225681,0.582101167315175,0.5112840466926071,0.909208819714656,1,1
100_446,0.619234693877551,0.5985204081632653,0.6131122448979592,0.5123979591836737,0.9078231292517004,1,1
100_447,0.6216161616161616,0.5826262626262626,0.5918181818181818,0.5114285714285717,0.9074074074074073,1,1
100_448,0.5818705035971222,0.5846043165467626,0.5764028776978417,0.5037101747173689,0.9093525179856108,1,1
100_449,0.6186597938144329,0.5854639175257732,0.5802061855670103,0.5147717231222387,0.9065292096219925,1,1
