geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment,score,score2
100_421,0.6699999999999999,0.54,0.5800000000000001,0.48071428571429003,0.9,0,1
100_422,0.545,0.375,0.41500000000000004,0.43000000000000005,0.933333333333335,0,1
100_430,0.575,0.7150000000000001,0.41500000000000004,0.4571428571428551,0.9,0,1
100_433,0.38,0.58,0.83,0.54571428571429,0.8,1,1
100_436,0.495,0.7949999999999999,0.495,0.49285714285714,0.933333333333335,0,1
100_446,0.55,0.66,0.72,0.58428571428571,0.86666666666667,1,1
100_448,0.8,0.595,0.785,0.5464285714285699,0.9,1,1
100_453,0.67,0.65,0.75,0.55,0.8,1,1
101_411,0.5,0.685,0.61,0.47642857142857,0.933333333333335,0,1
101_417,0.655,0.505,0.72,0.51214285714286,0.8333333333333299,1,1
101_423,0.63,0.3,0.46,0.47285714285714003,0.86666666666667,0,1
101_424,0.77,0.65,0.34,0.52142857142857,1.0,1,1
101_428,0.8,0.69,0.44,0.49571428571429,0.73333333333333,0,1
101_430,0.67,0.74,0.51,0.53714285714286,0.86666666666667,1,1
101_435,0.36,0.68,0.78,0.52285714285714,0.73333333333333,1,1
101_436,0.635,0.565,0.78,0.5878571428571451,0.933333333333335,1,1
101_437,0.6599999999999999,0.58,0.51,0.49071428571429,1.0,0,1
101_438,0.54,0.32499999999999996,0.53,0.42500000000000004,0.8666666666666649,0,1
101_442,0.73,0.53,0.5599999999999999,0.485714285714285,0.766666666666665,0,1
101_444,0.66,0.8,0.5,0.54428571428571,1.0,1,1
101_447,0.59,0.56,0.35,0.48142857142857,0.8,0,1
101_449,0.31,0.65,0.8,0.51285714285714,0.73333333333333,1,1
102_412,0.79,0.73,0.79,0.59857142857143,0.86666666666667,1,1
102_417,0.39,0.635,0.555,0.46857142857143,0.966666666666665,0,1
102_429,0.63,0.545,0.72,0.47785714285714,0.9,0,1
102_442,0.7849999999999999,0.5,0.77,0.552142857142855,0.833333333333335,1,1
102_447,0.8,0.55,0.34,0.51428571428571,0.86666666666667,1,1
102_450,0.37,0.61,0.41,0.47857142857143,0.86666666666667,0,1
103_412,0.8400000000000001,0.78,0.46,0.578571428571425,0.866666666666665,1,1
103_419,0.525,0.485,0.635,0.537857142857145,0.966666666666665,1,1
103_422,0.52,0.5549999999999999,0.605,0.47142857142857,0.9,0,1
103_423,0.495,0.545,0.5700000000000001,0.54,0.9,1,1
103_427,0.745,0.6200000000000001,0.69,0.564285714285715,0.9,1,1
103_430,0.86,0.43,0.86,0.47000000000000003,0.86666666666667,0,1
103_445,0.6699999999999999,0.6,0.445,0.48571428571428504,1.0,0,1
103_453,0.595,0.45,0.79,0.475,0.933333333333335,0,1
103_454,0.44,0.75,0.685,0.47285714285714003,0.9,0,1
104_415,0.45,0.4,0.89,0.51428571428571,0.8,1,1
104_418,0.76,0.47,0.65,0.5671428571428601,0.73333333333333,1,1
104_420,0.72,0.585,0.615,0.468571428571425,0.966666666666665,0,1
104_450,0.73,0.46,0.48,0.52142857142857,0.73333333333333,1,1
104_455,0.63,0.605,0.605,0.500714285714285,0.933333333333335,1,1
104_456,0.34,0.78,0.7,0.52428571428571,1.0,1,1
104_458,0.64,0.69,0.52,0.43857142857143006,0.93333333333333,0,1
105_410,0.575,0.49,0.71,0.514285714285715,0.933333333333335,1,1
105_414,0.495,0.42000000000000004,0.52,0.43928571428571506,1.0,0,1
105_422,0.405,0.6,0.565,0.53,0.933333333333335,1,1
105_423,0.835,0.47000000000000003,0.44999999999999996,0.515,0.966666666666665,1,1
105_434,0.83,0.77,0.51,0.47428571428571004,1.0,0,1
105_435,0.6325000000000001,0.515,0.625,0.51392857142857,0.95,1,1
105_436,0.66,0.31,0.57,0.48714285714286004,1.0,0,1
105_445,0.8300000000000001,0.43,0.7,0.53857142857143,1.0,1,1
105_450,0.74,0.7749999999999999,0.55,0.5800000000000001,1.0,1,1
105_453,0.475,0.515,0.65,0.460714285714285,0.93333333333333,0,1
105_455,0.46,0.88,0.6,0.54571428571429,0.8,1,1
105_457,0.63,0.56,0.83,0.54142857142857,1.0,1,1
106_415,0.575,0.64,0.52,0.46642857142856997,1.0,0,1
106_416,0.76,0.88,0.75,0.57571428571429,0.8,1,1
106_434,0.745,0.665,0.65,0.5542857142857149,0.966666666666665,1,1
106_436,0.56,0.7250000000000001,0.5349999999999999,0.5628571428571449,0.9,1,1
106_438,0.685,0.64,0.745,0.532142857142855,1.0,1,1
106_449,0.74,0.66,0.47,0.45714285714285996,0.93333333333333,0,1
106_455,0.35,0.54,0.87,0.48285714285714,0.93333333333333,0,1
106_457,0.725,0.595,0.49,0.505,1.0,1,1
107_410,0.54,0.34,0.72,0.51285714285714,1.0,1,1
107_416,0.61,0.35,0.55,0.48142857142857,0.93333333333333,0,1
107_417,0.665,0.475,0.8,0.5442857142857149,0.8666666666666649,1,1
107_425,0.34,0.46,0.66,0.46714285714286,0.8,0,1
107_428,0.7033333333333333,0.6366666666666667,0.52,0.5747619047619067,0.9333333333333332,1,1
107_431,0.5933333333333333,0.5166666666666667,0.66,0.4828571428571434,0.8888888888888901,0,1
107_448,0.54,0.63,0.68,0.46285714285713997,0.93333333333333,0,1
107_450,0.66,0.615,0.425,0.50785714285714,0.933333333333335,1,1
107_457,0.36,0.46,0.31,0.42714285714286,0.86666666666667,0,1
108_418,0.76,0.41,0.6,0.52857142857143,1.0,1,1
108_425,0.88,0.46,0.51,0.44714285714286,0.8,0,1
108_433,0.8,0.5,0.655,0.5935714285714301,0.8666666666666649,1,1
108_434,0.46499999999999997,0.615,0.63,0.49714285714286,0.766666666666665,0,1
108_436,0.73,0.89,0.5,0.52142857142857,0.8,1,1
108_442,0.405,0.585,0.615,0.46642857142857,0.966666666666665,0,1
108_447,0.53,0.43,0.4,0.45285714285714,0.93333333333333,0,1
108_454,0.61,0.5775,0.6575,0.565714285714285,0.85,1,1
108_455,0.52,0.615,0.315,0.46857142857142997,0.866666666666665,0,1
108_456,0.5,0.39,0.85,0.51,0.93333333333333,1,1
108_458,0.47,0.47,0.59,0.39857142857143,0.93333333333333,0,1
109_418,0.395,0.585,0.395,0.46857142857143,1.0,0,1
109_421,0.565,0.565,0.7350000000000001,0.53,0.933333333333335,1,1
109_422,0.49,0.63,0.69,0.50285714285714,0.8,1,1
109_426,0.37,0.75,0.79,0.5728571428571401,1.0,1,1
109_427,0.565,0.635,0.605,0.536428571428575,0.8666666666666649,1,1
109_428,0.56,0.755,0.455,0.535,0.8,1,1
109_430,0.6699999999999999,0.46499999999999997,0.45499999999999996,0.49857142857143,0.933333333333335,0,1
109_432,0.475,0.56,0.41000000000000003,0.44142857142857495,0.933333333333335,0,1
109_433,0.84,0.35,0.45,0.50714285714286,0.93333333333333,1,1
109_435,0.675,0.63,0.535,0.50642857142857,0.8666666666666649,1,1
109_436,0.37,0.32,0.47,0.44857142857143,0.86666666666667,0,1
109_447,0.77,0.76,0.71,0.50142857142857,0.8,1,1
109_448,0.61,0.32,0.67,0.47857142857143,1.0,0,1
109_449,0.6399999999999999,0.55,0.42,0.463571428571425,0.933333333333335,0,1
109_455,0.81,0.4,0.48,0.49142857142857005,1.0,0,1
109_456,0.6,0.46499999999999997,0.565,0.41928571428571004,0.966666666666665,0,1
109_457,0.43,0.47,0.46499999999999997,0.45571428571429,0.933333333333335,0,1
110_412,0.7250000000000001,0.715,0.6499999999999999,0.54357142857143,0.966666666666665,1,1
110_414,0.49,0.63,0.54,0.512142857142855,0.966666666666665,1,1
110_415,0.4,0.37,0.71,0.45571428571429,1.0,0,1
110_425,0.605,0.815,0.73,0.55285714285714,0.866666666666665,1,1
110_428,0.6950000000000001,0.515,0.58,0.48857142857143004,0.766666666666665,0,1
110_429,0.43,0.34,0.78,0.5,1.0,1,1
110_433,0.3,0.44,0.37,0.41571428571429003,0.93333333333333,0,1
110_436,0.485,0.5,0.575,0.45142857142857,0.8666666666666649,0,1
110_437,0.79,0.66,0.31,0.47857142857143,0.93333333333333,0,1
110_438,0.76,0.5,0.75,0.6042857142857101,1.0,1,1
110_457,0.78,0.8049999999999999,0.875,0.55,0.8666666666666649,1,1
110_459,0.71,0.32,0.5,0.44571428571429,0.86666666666667,0,1
111_411,0.665,0.485,0.74,0.51285714285714,0.966666666666665,1,1
111_412,0.7050000000000001,0.49,0.65,0.55357142857143,0.8666666666666649,1,1
111_415,0.74,0.48,0.62,0.50142857142857,0.73333333333333,1,1
111_423,0.49,0.52,0.7250000000000001,0.492142857142855,0.933333333333335,0,1
111_427,0.7,0.505,0.52,0.497142857142855,0.966666666666665,0,1
111_434,0.66,0.43,0.71,0.48142857142857,1.0,0,1
111_435,0.63,0.8,0.49,0.59714285714286,0.8,1,1
111_437,0.56,0.745,0.435,0.535,0.8666666666666649,1,1
111_438,0.865,0.48,0.59,0.543571428571425,0.8666666666666649,1,1
111_448,0.685,0.525,0.645,0.5478571428571399,0.966666666666665,1,1
111_455,0.3,0.36,0.34,0.38857142857143,0.86666666666667,0,1
111_456,0.505,0.5850000000000001,0.5416666666666666,0.5014285714285717,0.9777777777777766,1,1
112_416,0.53,0.49,0.47,0.49142857142857005,0.73333333333333,0,1
112_422,0.55,0.66,0.55,0.52142857142857,0.86666666666667,1,1
112_423,0.79,0.67,0.57,0.58,0.8,1,1
112_426,0.5233333333333333,0.4166666666666667,0.5566666666666666,0.4738095238095234,0.9777777777777766,0,1
112_430,0.8,0.49,0.48,0.49285714285714005,0.73333333333333,0,1
112_435,0.525,0.6950000000000001,0.46499999999999997,0.505714285714285,1.0,1,1
112_449,0.48,0.66,0.455,0.44857142857143006,0.833333333333335,0,1
112_450,0.765,0.635,0.565,0.575714285714285,0.9,1,1
112_451,0.88,0.84,0.8,0.66857142857143,0.8,1,1
112_458,0.5599999999999999,0.615,0.6775,0.5149999999999975,0.95,1,1
113_418,0.64,0.56,0.815,0.503571428571425,0.9,1,1
113_427,0.65,0.66,0.58,0.53357142857143,0.9,1,1
113_429,0.5900000000000001,0.6875,0.6075,0.5207142857142875,0.9833333333333325,1,1
113_434,0.78,0.55,0.635,0.54,0.966666666666665,1,1
113_440,0.47,0.52,0.4,0.49857142857143,0.73333333333333,0,1
113_452,0.6066666666666666,0.7399999999999999,0.5133333333333333,0.5457142857142834,0.8222222222222199,1,1
114_420,0.86,0.64,0.68,0.48571428571429004,0.8,0,1
114_423,0.45,0.55,0.65,0.5700000000000001,1.0,1,1
114_426,0.5599999999999999,0.44,0.685,0.45857142857143,1.0,0,1
114_428,0.85,0.57,0.62,0.6157142857142901,0.73333333333333,1,1
114_435,0.7749999999999999,0.44999999999999996,0.75,0.49214285714286,0.933333333333335,0,1
114_452,0.6575,0.495,0.745,0.5557142857142849,0.9333333333333325,1,1
115_410,0.32999999999999996,0.45,0.41000000000000003,0.46,0.933333333333335,0,1
115_413,0.635,0.7,0.395,0.49642857142857005,1.0,0,1
115_414,0.585,0.3925,0.5275,0.48785714285714255,0.9166666666666675,0,1
115_415,0.62,0.49,0.77,0.497142857142855,0.8666666666666649,0,1
115_416,0.32,0.62,0.42,0.45999999999999996,0.73333333333333,0,1
115_432,0.62,0.47,0.86,0.47142857142857003,0.93333333333333,0,1
115_434,0.78,0.515,0.43000000000000005,0.520714285714285,0.8,1,1
115_451,0.88,0.48,0.37,0.50571428571429,1.0,1,1
115_455,0.87,0.44,0.69,0.47857142857143,0.93333333333333,0,1
116_414,0.675,0.42,0.815,0.500714285714285,0.9,1,1
116_428,0.83,0.42,0.37,0.41571428571429003,1.0,0,1
116_435,0.66,0.44,0.86,0.47857142857143,0.73333333333333,0,1
116_450,0.68,0.56,0.56,0.46714285714286,1.0,0,1
116_452,0.56,0.83,0.88,0.61142857142857,1.0,1,1
116_459,0.31,0.47,0.39,0.42285714285714004,0.8,0,1
117_415,0.785,0.585,0.575,0.504285714285715,0.933333333333335,1,1
117_418,0.45,0.54,0.7849999999999999,0.53214285714286,0.9,1,1
117_422,0.645,0.605,0.5800000000000001,0.534285714285715,1.0,1,1
117_426,0.5800000000000001,0.41000000000000003,0.77,0.51,0.933333333333335,1,1
117_428,0.54,0.64,0.5233333333333333,0.4909523809523801,0.91111111111111,0,1
117_429,0.65,0.32,0.81,0.52857142857143,0.8,1,1
117_454,0.465,0.79,0.55,0.51,0.9,1,1
117_457,0.3,0.84,0.46,0.42714285714286,0.93333333333333,0,1
117_460,0.86,0.58,0.4,0.56285714285714,0.73333333333333,1,1
118_408,0.375,0.515,0.425,0.43357142857143005,0.9,0,1
118_412,0.395,0.375,0.78,0.42,1.0,0,1
118_416,0.64,0.62,0.375,0.48571428571428504,0.933333333333335,0,1
118_417,0.5575,0.43,0.62,0.4914285714285725,0.9333333333333325,0,1
118_419,0.62,0.46,0.86,0.51571428571429,1.0,1,1
118_420,0.525,0.65,0.755,0.5628571428571449,0.933333333333335,1,1
118_421,0.605,0.32,0.7,0.52857142857143,0.933333333333335,1,1
118_427,0.6333333333333333,0.5566666666666666,0.59,0.5452380952380933,0.8888888888888866,1,1
118_439,0.38,0.64,0.34,0.38285714285714,0.86666666666667,0,1
118_449,0.5,0.36,0.81,0.54142857142857,0.8,1,1
119_415,0.56,0.5774999999999999,0.72,0.5671428571428575,0.9,1,1
119_416,0.88,0.81,0.49,0.54428571428571,0.73333333333333,1,1
119_417,0.52,0.52,0.625,0.477142857142855,1.0,0,1
119_418,0.72,0.54,0.69,0.53857142857143,0.86666666666667,1,1
119_421,0.83,0.41,0.79,0.48285714285714,0.86666666666667,0,1
119_423,0.5075,0.725,0.6275,0.491785714285715,0.9666666666666675,0,1
119_427,0.5933333333333334,0.5816666666666667,0.5466666666666667,0.4976190476190467,0.8777777777777768,0,1
119_428,0.54,0.31,0.31,0.31571428571429005,0.8,0,1
119_430,0.44333333333333336,0.5,0.75,0.4542857142857133,0.9333333333333332,0,1
119_432,0.5833333333333334,0.63,0.4266666666666667,0.5219047619047633,0.8222222222222199,1,1
119_436,0.6433333333333334,0.5166666666666667,0.49,0.5209523809523801,0.8888888888888901,1,1
119_437,0.4633333333333334,0.71,0.5333333333333333,0.48,0.91111111111111,0,1
119_438,0.61,0.32,0.845,0.502142857142855,0.9,1,1
119_439,0.515,0.45,0.6,0.47214285714286,0.966666666666665,0,1
119_440,0.45999999999999996,0.68,0.66,0.52761904761905,0.91111111111111,1,1
119_441,0.5349999999999999,0.35,0.57,0.43285714285714005,0.933333333333335,0,1
119_442,0.65,0.8125,0.5775,0.5439285714285701,0.9,1,1
119_443,0.61,0.45499999999999996,0.49,0.48071428571428504,0.9,0,1
119_446,0.81,0.34,0.33,0.39571428571429,0.73333333333333,0,1
119_448,0.45499999999999996,0.625,0.7749999999999999,0.55142857142857,1.0,1,1
119_451,0.5466666666666666,0.48666666666666664,0.62,0.4838095238095234,0.9555555555555566,0,1
119_452,0.34,0.6,0.31,0.42000000000000004,0.93333333333333,0,1
119_457,0.51,0.615,0.435,0.540714285714285,0.933333333333335,1,1
119_458,0.6000000000000001,0.75,0.645,0.50285714285714,0.966666666666665,1,1
120_411,0.775,0.7549999999999999,0.6,0.515714285714285,0.8666666666666649,1,1
120_413,0.44,0.44,0.5449999999999999,0.48785714285714504,0.933333333333335,0,1
120_416,0.84,0.88,0.59,0.65,0.86666666666667,1,1
120_419,0.6766666666666667,0.4000000000000001,0.59,0.5133333333333333,0.8444444444444433,1,1
120_420,0.7200000000000001,0.5633333333333334,0.6433333333333333,0.5309523809523834,0.8666666666666667,1,1
120_422,0.4833333333333334,0.54,0.79,0.5271428571428567,0.9333333333333332,1,1
120_423,0.43,0.66,0.38,0.40571428571428997,0.86666666666667,0,1
120_426,0.53,0.65,0.69,0.5571428571428599,1.0,1,1
120_427,0.595,0.615,0.345,0.38571428571429,0.966666666666665,0,1
120_428,0.595,0.5,0.41500000000000004,0.44428571428571495,0.8,0,1
120_431,0.46,0.62,0.59,0.51428571428571,0.73333333333333,1,1
120_437,0.5875,0.69,0.59,0.5603571428571426,0.966666666666665,1,1
120_438,0.49666666666666665,0.61,0.5866666666666667,0.47190476190476005,0.8444444444444468,0,1
120_444,0.476,0.7220000000000001,0.524,0.518,1.0,1,1
120_448,0.6100000000000001,0.51,0.45999999999999996,0.49428571428571505,0.966666666666665,0,1
120_451,0.515,0.6799999999999999,0.7,0.5692857142857101,0.8,1,1
120_454,0.56,0.7849999999999999,0.49,0.53,0.9,1,1
120_455,0.36,0.685,0.5900000000000001,0.49857142857143,0.8666666666666649,0,1
120_457,0.89,0.74,0.89,0.6928571428571401,0.93333333333333,1,1
120_458,0.64,0.585,0.54,0.47428571428571503,0.966666666666665,0,1
120_459,0.7133333333333333,0.6266666666666666,0.5833333333333334,0.56,0.9333333333333332,1,1
70_417,0.52,0.485,0.5800000000000001,0.459285714285715,1.0,0,1
70_425,0.44499999999999995,0.7250000000000001,0.7350000000000001,0.50642857142857,0.9,1,1
70_428,0.56,0.89,0.59,0.48428571428571,0.73333333333333,0,1
70_437,0.59,0.63,0.675,0.5157142857142851,0.966666666666665,1,1
70_439,0.85,0.81,0.78,0.6228571428571401,0.73333333333333,1,1
70_443,0.86,0.33,0.33,0.44857142857143,0.73333333333333,0,1
70_446,0.85,0.7849999999999999,0.6950000000000001,0.62928571428571,0.966666666666665,1,1
71_410,0.5549999999999999,0.56,0.51,0.49,0.966666666666665,0,1
71_411,0.57,0.86,0.35,0.50285714285714,0.73333333333333,1,1
71_414,0.34,0.45,0.88,0.59571428571429,0.8,1,1
71_415,0.5,0.3,0.63,0.44428571428571006,1.0,0,1
71_423,0.46,0.545,0.71,0.47642857142857,1.0,0,1
71_428,0.55,0.665,0.7150000000000001,0.5378571428571399,0.766666666666665,1,1
71_430,0.72,0.54,0.34,0.49714285714286,0.93333333333333,0,1
71_431,0.422,0.7060000000000001,0.508,0.47828571428571404,0.8533333333333321,0,1
71_434,0.725,0.55,0.69,0.545714285714285,0.8666666666666649,1,1
71_439,0.5249999999999999,0.745,0.85,0.54142857142857,0.966666666666665,1,1
71_442,0.64,0.45999999999999996,0.38,0.475,0.8666666666666649,0,1
71_447,0.715,0.66,0.595,0.582857142857145,1.0,1,1
72_412,0.5133333333333333,0.3933333333333333,0.56,0.43238095238095003,0.9333333333333332,0,1
72_413,0.375,0.51,0.79,0.52214285714286,1.0,1,1
72_414,0.43,0.43,0.72,0.45999999999999996,0.73333333333333,0,1
72_416,0.6000000000000001,0.55,0.37,0.48857142857143,1.0,0,1
72_417,0.55,0.6000000000000001,0.66,0.51,0.966666666666665,1,1
72_423,0.83,0.65,0.49,0.50857142857143,0.93333333333333,1,1
72_425,0.43,0.46,0.61,0.49142857142857005,0.86666666666667,0,1
72_426,0.635,0.375,0.78,0.49,0.9,0,1
72_428,0.51,0.49,0.6699999999999999,0.512142857142855,0.8666666666666649,1,1
72_429,0.675,0.6799999999999999,0.77,0.547857142857145,0.8666666666666649,1,1
72_430,0.505,0.6799999999999999,0.645,0.5614285714285701,0.933333333333335,1,1
72_432,0.45,0.66,0.32,0.42285714285714004,1.0,0,1
72_433,0.87,0.58,0.38,0.44714285714286,0.93333333333333,0,1
72_440,0.62,0.46,0.45,0.51857142857143,0.8,1,1
72_442,0.73,0.63,0.47,0.58285714285714,1.0,1,1
72_444,0.48,0.47,0.685,0.511428571428575,0.8666666666666649,1,1
72_456,0.79,0.87,0.36,0.5914285714285701,0.86666666666667,1,1
73_410,0.7466666666666667,0.7000000000000001,0.69,0.5576190476190467,0.9111111111111133,1,1
73_415,0.59,0.61,0.7,0.54357142857143,0.933333333333335,1,1
73_417,0.73,0.52,0.53,0.51857142857143,1.0,1,1
73_419,0.77,0.72,0.86,0.55285714285714,0.93333333333333,1,1
73_421,0.72,0.35,0.63,0.51,0.86666666666667,1,1
73_422,0.67,0.36,0.38,0.45571428571428996,0.8,0,1
73_423,0.62,0.36,0.66,0.492142857142855,0.8666666666666649,0,1
73_426,0.82,0.53,0.89,0.51571428571429,1.0,1,1
73_428,0.575,0.5700000000000001,0.52,0.484285714285715,0.966666666666665,0,1
73_431,0.655,0.58,0.425,0.45999999999999996,1.0,0,1
73_434,0.7050000000000001,0.635,0.645,0.517142857142855,1.0,1,1
73_435,0.43,0.63,0.47,0.44857142857143,0.933333333333335,0,1
73_437,0.7749999999999999,0.74,0.71,0.5857142857142851,0.9,1,1
