geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
117_414,0.82,0.65,0.3,0.43285714285714,0.93333333333333
117_414,0.69,0.82,0.72,0.6200000000000001,1.0
117_414,0.83,0.57,0.79,0.55428571428571,0.73333333333333
117_414,0.73,0.44,0.78,0.51857142857143,0.73333333333333
117_414,0.59,0.74,0.55,0.53857142857143,0.73333333333333
117_414,0.84,0.54,0.46,0.53285714285714,1.0
117_414,0.78,0.38,0.71,0.51142857142857,1.0
117_414,0.37,0.52,0.46,0.38285714285714,1.0
117_414,0.65,0.38,0.81,0.43571428571429005,0.93333333333333
117_414,0.66,0.37,0.43,0.49142857142857005,0.8
117_414,0.69,0.5,0.71,0.54428571428571,0.93333333333333
117_414,0.36,0.35,0.66,0.43714285714286005,1.0
117_414,0.78,0.64,0.88,0.55285714285714,0.73333333333333
117_414,0.42,0.58,0.87,0.53857142857143,1.0
117_414,0.58,0.69,0.8,0.55142857142857,0.8
117_414,0.61,0.36,0.67,0.48142857142857,1.0
117_414,0.54,0.69,0.47,0.49571428571429,1.0
117_414,0.35,0.45,0.76,0.38714285714286,0.8
117_414,0.65,0.41,0.73,0.55142857142857,1.0
117_414,0.55,0.41,0.75,0.43571428571429005,0.93333333333333
117_414,0.77,0.81,0.83,0.61428571428571,1.0
117_414,0.67,0.33,0.65,0.46571428571429,0.8
117_414,0.65,0.31,0.85,0.51857142857143,1.0
117_414,0.88,0.4,0.35,0.39857142857143,0.93333333333333
117_414,0.35,0.8,0.8,0.55,1.0
117_414,0.41,0.89,0.73,0.53285714285714,0.93333333333333
117_414,0.66,0.59,0.63,0.46571428571429,1.0
117_414,0.41,0.73,0.62,0.47714285714286,0.8
117_414,0.81,0.55,0.47,0.5742857142857101,0.73333333333333
117_414,0.78,0.63,0.81,0.52714285714286,0.73333333333333
117_414,0.66,0.39,0.63,0.50571428571429,0.8
117_414,0.77,0.86,0.74,0.56571428571429,0.73333333333333
117_414,0.52,0.68,0.63,0.45285714285714,0.93333333333333
117_414,0.33,0.36,0.78,0.49571428571429,0.86666666666667
117_414,0.82,0.69,0.45,0.5742857142857101,1.0
117_414,0.53,0.52,0.68,0.54142857142857,1.0
117_414,0.88,0.54,0.5,0.46285714285713997,0.73333333333333
117_414,0.39,0.34,0.39,0.38142857142857,0.93333333333333
117_414,0.55,0.74,0.56,0.49714285714286,1.0
117_414,0.76,0.46,0.7,0.49285714285714005,0.86666666666667
117_414,0.46,0.8,0.84,0.57571428571429,1.0
117_414,0.31,0.3,0.5,0.32857142857143,1.0
117_414,0.63,0.73,0.53,0.5571428571428599,1.0
117_414,0.48,0.47,0.78,0.54142857142857,1.0
117_414,0.56,0.64,0.74,0.62714285714286,1.0
117_414,0.81,0.65,0.39,0.53428571428571,1.0
117_414,0.47,0.62,0.63,0.52428571428571,0.73333333333333
117_414,0.81,0.88,0.7,0.56285714285714,0.93333333333333
117_414,0.3,0.43,0.51,0.47428571428571004,1.0
117_414,0.3,0.65,0.8,0.53857142857143,1.0
117_414,0.48,0.41,0.66,0.50428571428571,1.0
117_414,0.43,0.66,0.85,0.53142857142857,0.8
117_414,0.3,0.77,0.38,0.48142857142857,1.0
117_414,0.37,0.41,0.73,0.46428571428570997,1.0
117_414,0.38,0.87,0.65,0.63,0.8
117_414,0.83,0.6,0.5,0.49571428571429,0.73333333333333
117_414,0.71,0.79,0.33,0.53714285714286,1.0
117_414,0.6,0.41,0.42,0.46714285714286,0.73333333333333
117_414,0.55,0.5,0.81,0.44857142857143,1.0
117_414,0.32,0.86,0.42,0.48428571428571,0.73333333333333
117_414,0.52,0.35,0.66,0.43,1.0
117_414,0.65,0.43,0.64,0.48571428571429004,0.73333333333333
117_414,0.79,0.33,0.76,0.5599999999999999,1.0
117_414,0.5,0.51,0.74,0.52571428571429,1.0
117_414,0.82,0.35,0.69,0.55142857142857,0.8
117_414,0.69,0.69,0.46,0.50142857142857,0.73333333333333
117_414,0.34,0.3,0.62,0.48571428571429004,0.8
117_414,0.71,0.57,0.77,0.55285714285714,1.0
117_414,0.48,0.8,0.81,0.5857142857142901,0.8
117_414,0.49,0.72,0.76,0.5585714285714299,0.93333333333333
117_414,0.54,0.87,0.69,0.48857142857143004,1.0
117_414,0.64,0.33,0.66,0.51857142857143,0.73333333333333
117_414,0.83,0.71,0.82,0.5685714285714301,0.8
117_414,0.71,0.48,0.54,0.49000000000000005,1.0
117_414,0.34,0.48,0.37,0.40714285714285997,0.73333333333333
117_414,0.71,0.46,0.49,0.49285714285714005,0.86666666666667
117_414,0.31,0.7,0.86,0.5914285714285701,1.0
117_414,0.79,0.87,0.55,0.56571428571429,0.8
117_414,0.56,0.82,0.36,0.47285714285714003,1.0
117_414,0.43,0.65,0.73,0.52857142857143,0.86666666666667
117_414,0.62,0.8,0.82,0.6400000000000001,0.8
117_414,0.66,0.69,0.72,0.54714285714286,1.0
117_414,0.6,0.89,0.33,0.53571428571429,1.0
117_414,0.71,0.3,0.84,0.54428571428571,0.93333333333333
117_414,0.62,0.62,0.38,0.45857142857142996,1.0
117_414,0.4,0.71,0.43,0.40714285714285997,0.73333333333333
117_414,0.39,0.82,0.32,0.44571428571429,0.8
117_414,0.31,0.38,0.75,0.47285714285714003,1.0
117_414,0.68,0.82,0.75,0.57857142857143,0.73333333333333
117_414,0.53,0.82,0.85,0.59857142857143,0.8
117_414,0.68,0.55,0.89,0.50285714285714,1.0
117_414,0.86,0.42,0.65,0.6200000000000001,0.73333333333333
117_414,0.84,0.47,0.53,0.5714285714285701,1.0
117_414,0.54,0.77,0.77,0.5742857142857101,0.8
117_414,0.56,0.54,0.5,0.53285714285714,1.0
117_414,0.68,0.68,0.43,0.53857142857143,0.73333333333333
117_414,0.51,0.6,0.41,0.52285714285714,0.86666666666667
117_414,0.67,0.49,0.74,0.42571428571429,0.86666666666667
117_414,0.44,0.79,0.41,0.54,0.93333333333333
117_414,0.78,0.4,0.64,0.52285714285714,0.73333333333333
117_414,0.84,0.58,0.74,0.5671428571428601,0.86666666666667
117_414,0.59,0.86,0.72,0.5571428571428599,0.93333333333333
117_414,0.88,0.75,0.39,0.6357142857142901,0.93333333333333
117_414,0.51,0.51,0.61,0.49428571428571005,0.8
117_414,0.57,0.47,0.74,0.54571428571429,0.93333333333333
117_414,0.82,0.45,0.67,0.49142857142857005,1.0
117_414,0.57,0.62,0.83,0.60714285714286,0.86666666666667
117_414,0.85,0.53,0.72,0.6228571428571401,0.73333333333333
117_414,0.38,0.77,0.42,0.43714285714286005,0.86666666666667
117_414,0.83,0.49,0.45,0.44000000000000006,1.0
117_414,0.72,0.88,0.32,0.48857142857143004,1.0
117_414,0.69,0.89,0.84,0.6228571428571401,1.0
117_414,0.39,0.58,0.42,0.36285714285714005,0.93333333333333
117_414,0.34,0.45,0.73,0.38,1.0
117_414,0.85,0.61,0.41,0.50142857142857,0.8
117_414,0.48,0.83,0.34,0.43428571428571,0.93333333333333
117_414,0.38,0.44,0.57,0.39428571428571,0.73333333333333
117_414,0.87,0.3,0.67,0.47285714285714003,1.0
117_414,0.64,0.78,0.33,0.53285714285714,0.93333333333333
117_414,0.64,0.52,0.83,0.56428571428571,0.73333333333333
117_414,0.45,0.3,0.83,0.52142857142857,0.73333333333333
117_414,0.67,0.33,0.32,0.49000000000000005,1.0
117_414,0.5,0.82,0.89,0.52571428571429,0.73333333333333
117_414,0.35,0.49,0.37,0.40428571428571003,1.0
117_414,0.43,0.46,0.36,0.45285714285714,0.93333333333333
117_414,0.52,0.82,0.89,0.5942857142857101,1.0
117_414,0.78,0.41,0.67,0.55428571428571,0.73333333333333
117_414,0.64,0.49,0.62,0.49000000000000005,0.86666666666667
117_414,0.58,0.48,0.82,0.55142857142857,1.0
117_414,0.53,0.65,0.4,0.50285714285714,0.8
117_414,0.78,0.74,0.65,0.52,1.0
117_414,0.8,0.64,0.45,0.45857142857142996,0.86666666666667
117_414,0.57,0.34,0.46,0.45857142857142996,0.86666666666667
117_414,0.87,0.56,0.49,0.53857142857143,1.0
117_414,0.69,0.82,0.35,0.5942857142857101,1.0
117_414,0.66,0.37,0.67,0.47000000000000003,1.0
117_414,0.66,0.85,0.76,0.60857142857143,0.8
117_414,0.79,0.35,0.36,0.48571428571429004,1.0
117_414,0.44,0.62,0.33,0.44428571428571006,1.0
117_414,0.67,0.86,0.57,0.6242857142857101,1.0
117_414,0.59,0.41,0.76,0.47571428571429,0.8
117_414,0.34,0.73,0.43,0.45142857142857,0.93333333333333
117_414,0.75,0.63,0.33,0.54142857142857,0.86666666666667
117_414,0.83,0.84,0.56,0.6042857142857101,0.73333333333333
117_414,0.36,0.77,0.65,0.50714285714286,0.8
117_414,0.69,0.47,0.79,0.57857142857143,1.0
117_414,0.39,0.47,0.82,0.55142857142857,0.8
117_414,0.8,0.68,0.89,0.67571428571429,1.0
117_414,0.82,0.66,0.78,0.57571428571429,0.93333333333333
117_414,0.89,0.59,0.65,0.53857142857143,0.73333333333333
117_414,0.73,0.45,0.68,0.44571428571429,0.8
117_414,0.4,0.66,0.6,0.44142857142857006,0.8
117_414,0.76,0.58,0.87,0.6385714285714301,1.0
117_414,0.62,0.88,0.4,0.50857142857143,0.8
117_414,0.52,0.3,0.64,0.51571428571429,1.0
117_414,0.51,0.61,0.53,0.44714285714286,0.86666666666667
117_414,0.6,0.59,0.38,0.45428571428571,1.0
117_414,0.71,0.54,0.8,0.55428571428571,0.73333333333333
117_414,0.83,0.54,0.34,0.47285714285714003,0.86666666666667
117_414,0.76,0.75,0.73,0.61428571428571,1.0
117_414,0.59,0.56,0.35,0.47142857142857003,0.93333333333333
117_414,0.59,0.31,0.69,0.41428571428571,0.73333333333333
117_414,0.79,0.31,0.55,0.51142857142857,0.8
117_414,0.54,0.63,0.86,0.53857142857143,0.86666666666667
117_414,0.44,0.62,0.78,0.47857142857143,1.0
117_414,0.31,0.56,0.81,0.52285714285714,0.8
117_414,0.61,0.87,0.79,0.53428571428571,0.93333333333333
117_414,0.33,0.89,0.49,0.6014285714285701,1.0
117_414,0.79,0.44,0.32,0.48857142857143004,1.0
117_414,0.58,0.43,0.69,0.40714285714285997,0.86666666666667
117_414,0.73,0.56,0.61,0.5742857142857101,1.0
117_414,0.58,0.43,0.38,0.45285714285714,0.86666666666667
117_414,0.64,0.88,0.4,0.53571428571429,1.0
117_414,0.36,0.56,0.52,0.47714285714286,0.86666666666667
117_414,0.86,0.7,0.87,0.60857142857143,0.86666666666667
117_414,0.88,0.82,0.54,0.5900000000000001,1.0
117_414,0.81,0.52,0.52,0.55285714285714,1.0
117_414,0.33,0.77,0.83,0.43,0.73333333333333
117_414,0.59,0.87,0.69,0.5857142857142901,1.0
117_414,0.53,0.61,0.45,0.47285714285714003,1.0
117_414,0.35,0.37,0.72,0.46428571428570997,0.8
117_414,0.52,0.41,0.47,0.46428571428570997,0.86666666666667
117_414,0.39,0.52,0.67,0.44571428571429,0.8
