geopixel,auc
100_409,0.0
100_410,0.0
100_420,0.0
100_424,0.0
100_426,0.0
100_427,0.0
100_428,0.0
100_430,0.0
100_432,0.0
100_434,0.0
100_436,0.0
100_437,0.0
100_438,0.0
100_451,0.0
101_409,0.0
101_411,0.0
101_413,0.0
101_414,0.0
101_416,0.0
101_418,0.0
101_419,0.0
101_429,0.0
101_432,0.0
101_436,0.0
101_443,0.0
101_445,0.0
101_446,0.0
101_447,0.0
101_448,0.0
101_451,0.0
101_454,0.0
102_410,0.0
102_414,0.0
102_417,0.0
102_425,0.0
102_430,0.0
102_433,0.0
102_434,0.0
102_438,0.0
102_444,0.0
102_446,0.0
102_448,0.0
102_450,0.0
102_451,0.0
102_457,0.0
102_458,0.0
103_411,0.0
103_415,0.0
103_419,0.0
103_420,0.0
103_423,0.0
103_424,0.0
103_432,0.0
103_438,0.0
103_447,0.0
103_449,0.0
103_455,0.0
104_416,0.0
104_418,0.0
104_419,0.0
104_422,0.0
104_425,0.0
104_426,0.0
104_432,0.0
104_433,0.0
104_435,0.0
104_436,0.0
104_446,0.0
104_449,0.0
104_452,0.0
104_453,0.0
104_455,0.0
104_456,0.0
104_458,0.0
105_412,0.0
105_416,0.0
105_433,0.0
105_437,0.0
105_449,0.0
105_453,0.0
105_454,0.0
105_457,0.0
105_459,0.0
106_413,0.0
106_423,0.0
106_426,0.0
106_428,0.0
106_430,0.0
106_434,0.0
106_435,0.0
106_436,0.0
106_446,0.0
106_447,0.0
106_448,0.0
106_449,0.0
106_450,0.0
106_453,0.0
106_454,0.0
106_459,0.0
107_413,0.0
107_415,0.0
107_417,0.0
107_418,0.0
107_419,0.0
107_424,0.0
107_425,0.0
107_429,0.0
107_430,0.0
107_431,0.0
107_439,0.0
107_441,0.0
107_448,0.0
107_453,0.0
107_454,0.0
108_415,0.0
108_419,0.0
108_422,0.0
108_428,0.0
108_433,0.0
108_434,1.0
108_436,0.0
108_438,0.0
108_454,0.0
108_455,0.0
108_456,0.0
108_459,0.0
109_409,0.0
109_413,0.0
109_417,0.0
109_422,0.0
109_423,0.0
109_424,0.0
109_426,0.0
109_430,0.0
109_432,0.0
109_437,0.0
109_449,0.0
109_457,0.0
110_408,0.0
110_410,0.0
110_415,0.0
110_417,0.0
110_421,0.0
110_429,0.0
110_432,0.0
110_433,0.0
110_435,0.0
110_436,0.0
110_447,0.0
110_450,0.0
110_452,0.0
110_455,0.0
110_456,0.0
110_457,0.0
111_413,0.0
111_419,0.0
111_426,0.0
111_431,0.0
111_437,0.0
111_448,0.0
111_449,0.0
111_450,0.0
111_453,0.0
111_454,0.0
111_457,0.0
112_410,0.0
112_411,0.0
112_414,0.0
112_416,1.0
112_421,0.0
112_429,0.0
112_434,1.0
112_446,0.0
112_449,0.0
112_450,0.0
112_451,0.0
113_412,0.0
113_414,0.0
113_415,0.0
113_417,0.0
113_419,0.0
113_424,0.0
113_428,0.0
113_430,0.0
113_431,0.0
113_442,0.0
113_443,0.0
113_447,0.0
113_448,0.0
113_449,0.0
113_451,0.0
113_453,0.0
113_456,0.0
114_415,0.0
114_418,0.0
114_424,0.0
114_429,0.0
114_433,1.0
114_435,0.0
114_439,0.0
114_442,0.0
114_445,0.0
114_451,0.0
115_408,0.0
115_419,0.0
115_420,0.0
115_422,0.0
115_427,0.0
115_428,0.0
115_431,0.0
115_437,0.0
115_444,0.0
115_445,0.0
115_450,0.0
115_451,0.0
115_454,0.0
115_459,0.0
116_411,0.0
116_415,0.0
116_424,0.0
116_429,0.0
116_430,0.0
116_431,0.0
116_440,0.0
116_447,0.0
116_453,0.0
116_455,0.0
116_456,0.0
117_411,0.0
117_414,0.0
117_415,0.0
117_416,0.0
117_417,0.0
117_419,0.0
117_420,0.0
117_428,0.0
117_432,0.0
117_434,0.0
117_440,0.0
117_447,0.0
117_449,0.0
117_450,0.0
117_453,0.0
117_454,0.0
117_455,0.0
117_460,0.0
118_411,0.0
118_416,0.0
118_417,0.0
118_425,0.0
118_428,0.0
118_429,0.0
118_433,0.0
118_436,0.0
118_439,0.0
118_440,0.0
118_449,0.0
118_452,0.0
118_453,0.0
118_454,0.0
118_455,0.0
118_456,0.0
119_409,0.0
119_416,0.0
119_418,1.0
119_420,0.0
119_422,0.0
119_423,0.0
119_425,0.0
119_426,0.0
119_427,1.0
119_429,0.0
119_430,0.0
119_433,0.0
119_434,0.0
119_435,0.0
119_438,0.0
119_439,0.0
119_440,0.0
119_443,0.0
119_444,0.0
119_445,0.0
119_446,0.0
119_447,0.0
119_448,0.0
119_449,0.0
119_450,0.0
119_451,0.0
119_452,0.0
119_453,0.0
119_454,0.0
119_455,0.0
119_457,0.0
119_459,0.0
120_411,0.0
120_412,0.0
120_413,0.0
120_415,0.0
120_421,0.0
120_425,0.0
120_426,0.0
120_427,0.0
120_428,1.0
120_429,0.0
120_430,0.0
120_432,0.0
120_433,0.0
120_434,0.0
120_435,0.0
120_436,0.0
120_437,0.0
120_439,0.0
120_442,0.0
120_444,0.0
120_445,0.0
120_446,0.0
120_448,0.0
120_449,0.0
120_450,0.0
120_452,0.5
120_453,0.0
120_454,0.0
120_457,0.0
70_409,0.0
70_411,0.0
70_419,0.0
70_424,0.0
70_433,0.0
70_435,0.0
70_439,0.0
70_441,0.0
70_443,0.0
70_445,0.0
70_450,0.0
71_413,0.0
71_414,0.0
71_417,0.0
71_418,0.0
71_420,0.0
71_423,0.0
71_425,0.0
71_427,0.0
71_428,0.0
71_429,0.0
71_431,0.0
71_432,0.0
71_435,0.0
71_437,0.0
71_439,1.0
71_444,0.0
71_445,0.0
71_447,0.0
71_457,0.0
72_410,0.0
72_411,0.0
72_413,0.0
72_414,1.0
72_415,0.0
72_419,0.0
72_420,0.0
72_423,0.0
72_424,0.0
72_426,0.0
72_427,0.0
72_429,1.0
72_432,0.0
72_433,0.0
72_435,0.0
72_442,0.0
72_443,0.0
72_444,0.0
72_446,0.0
72_447,0.0
73_412,0.0
73_416,0.0
73_419,0.0
73_421,0.0
73_422,0.0
73_424,0.0
73_427,0.0
73_431,0.0
73_433,1.0
73_434,0.0
73_435,0.0
73_438,0.0
73_440,0.0
