geopixel,auc
-611_312,0.8611111111111112
0_0,0.9994926433282598
100_418,1.0
105_435,1.0
106_436,1.0
110_430,-1.0
111_430,1.0
112_428,-1.0
113_427,1.0
163_290,-1.0
1_1,0.9994240411979943
78_433,0.5
78_435,0.8
78_437,-1.0
78_439,-1.0
81_451,-1.0
81_452,-1.0
81_453,0.9998541707174801
82_448,1.0
83_426,-1.0
85_422,1.0
85_426,-1.0
86_413,-1.0
86_426,1.0
87_420,1.0
88_424,1.0
89_423,1.0
90_422,-1.0
90_423,1.0
91_423,1.0
93_419,-1.0
93_423,-1.0
93_425,-1.0
94_419,-1.0
94_423,-1.0
95_419,0.9997130933750652
95_423,1.0
95_424,-1.0
97_426,-1.0
99_429,1.0
