geopixel,auc
100_408,0.6825396825396826
100_409,0.9252173913043478
100_410,0.8044515103338634
100_411,0.8940144872283645
100_412,0.8191489361702128
100_413,0.7971428571428572
100_414,0.83046875
100_415,0.8369047619047618
100_416,0.8278388278388278
100_417,0.8411111111111111
100_418,0.7918418839360808
100_419,0.7931034482758621
100_420,0.8240131578947367
100_421,0.7556818181818181
100_422,0.8789909341742215
100_423,0.77875
100_424,0.8825757575757576
100_425,0.9440559440559441
100_426,0.8376623376623377
100_427,0.7442680776014109
100_428,0.8546875
100_429,0.8785166240409208
100_430,0.765556253928347
100_431,0.8463855421686747
100_432,0.8014375561545373
100_433,0.8319526627218935
100_434,0.8563492063492063
100_435,0.8900255754475703
100_436,0.7908333333333333
100_437,0.7548928238583412
100_438,0.92
100_439,0.8914027149321267
100_440,0.9436813186813187
100_441,0.8174603174603174
100_442,0.8318181818181818
100_443,0.8196480938416423
100_444,0.8757396449704141
100_445,0.851726089417091
100_446,0.7353479853479854
100_447,0.8438228438228438
100_448,0.8876811594202898
100_449,0.7516339869281046
100_450,0.800705467372134
100_451,0.8653250773993808
100_452,0.9059656218402427
100_453,0.8672438672438673
100_454,0.7857142857142858
100_455,0.9375
100_456,-1.0
101_408,0.7222222222222222
101_409,0.8484848484848485
101_410,0.7684782608695652
101_411,0.7995169082125603
101_412,0.8191304347826087
101_413,0.8409937888198757
101_414,0.7386666666666666
101_415,0.8118351063829787
101_416,0.8212121212121212
101_417,0.8549695740365112
101_418,0.8088235294117647
101_419,0.7794117647058824
101_420,0.8245614035087719
101_421,0.8044117647058824
101_422,0.7325581395348837
101_423,0.787142857142857
101_424,0.8470588235294118
101_425,0.8484848484848485
101_426,0.9
101_427,0.8666666666666667
101_428,0.8476084538375973
101_429,0.8814655172413793
101_430,0.7881773399014779
101_431,0.8111471861471862
101_432,0.7767543859649123
101_433,0.8350141185962081
101_434,0.8664285714285714
101_435,0.7708333333333334
101_436,0.8673469387755103
101_437,0.908974358974359
101_438,0.8263157894736843
101_439,0.8855218855218854
101_440,0.849624060150376
101_441,0.8660714285714286
101_442,0.9092071611253197
101_443,0.8758223684210525
101_444,0.7827586206896553
101_445,0.8059053408597481
101_446,0.8625
101_447,0.8455
101_448,0.8772189349112426
101_449,0.808
101_450,0.7114624505928854
101_451,0.8487654320987654
101_452,0.8809523809523809
101_453,0.7985347985347986
101_454,0.8357142857142857
101_455,0.5811965811965811
101_456,1.0
102_408,0.8125
102_409,0.7972027972027972
102_410,0.7096354166666666
102_411,0.88875
102_412,0.8520325203252033
102_413,0.8149038461538463
102_414,0.8552188552188552
102_415,0.8526077097505669
102_416,0.7628330084470435
102_417,0.8575498575498575
102_418,0.8412204234122043
102_419,0.8306724721819062
102_420,0.8823529411764706
102_421,0.9598214285714286
102_422,0.8133333333333335
102_423,0.7056277056277056
102_424,0.896969696969697
102_425,1.0
102_426,0.8333333333333334
102_427,0.5897435897435898
102_428,0.7768595041322315
102_429,0.8659611992945326
102_430,0.78125
102_431,0.7412109375
102_432,0.7528160200250312
102_433,0.8063858695652174
102_434,0.7308641975308642
102_435,0.8206521739130435
102_436,0.7620320855614973
102_437,0.8681318681318682
102_438,0.8428571428571429
102_439,0.8955555555555555
102_440,0.8461538461538461
102_441,0.9142857142857144
102_442,0.8
102_443,0.7352941176470589
102_444,0.8968531468531469
102_445,0.8465473145780051
102_446,0.7739791073124407
102_447,0.8275566966195976
102_448,0.8685515873015872
102_449,0.8516042780748663
102_450,0.9179926560587515
102_451,0.8657407407407408
102_452,0.8628472222222222
102_453,0.8308631211857018
102_454,0.7910557184750733
102_455,0.8528265107212475
102_456,0.9029411764705884
102_457,0.84375
102_458,0.9444444444444444
102_459,-1.0
103_408,1.0
103_409,0.6363636363636364
103_410,0.769927536231884
103_411,0.6992753623188406
103_412,0.8439897698209718
103_413,0.848297213622291
103_414,0.7822393822393823
103_415,0.8338235294117647
103_416,0.7665631469979296
103_417,0.8472372697724809
103_418,0.8632580261593341
103_419,0.8454918032786884
103_420,0.8571428571428571
103_421,0.7696969696969697
103_422,0.925925925925926
103_423,0.7857142857142857
103_424,0.8863636363636364
103_425,0.916083916083916
103_426,0.7681818181818182
103_427,0.8866666666666668
103_428,0.8948148148148147
103_429,0.9146537842190017
103_430,0.8167701863354037
103_431,0.8516483516483517
103_432,0.8593073593073592
103_433,0.86
103_434,0.8583333333333333
103_435,0.8638888888888889
103_436,0.8327586206896552
103_437,0.7669172932330827
103_438,0.888157894736842
103_439,0.7407407407407407
103_440,0.5
103_441,0.9333333333333333
103_442,1.0
103_443,0.7
103_444,0.7999999999999999
103_445,0.8339920948616601
103_446,0.7485714285714284
103_447,0.7878787878787878
103_448,0.838768115942029
103_449,0.8705882352941176
103_450,0.8269794721407625
103_451,0.7986666666666666
103_452,0.785
103_453,0.7878787878787878
103_454,0.8521220159151193
103_455,0.7141768292682927
103_456,0.8802325581395349
103_457,0.9196078431372549
103_458,0.8046875
103_459,0.8222222222222222
103_460,1.0
104_408,0.9642857142857143
104_409,0.8333333333333334
104_410,0.8522727272727273
104_411,0.8441558441558442
104_412,0.8925675675675676
104_413,0.8529411764705882
104_414,0.7790927021696253
104_415,0.8461538461538461
104_416,0.7865497076023392
104_417,0.7815860215053763
104_418,0.7909407665505226
104_419,0.8440065681444991
104_420,0.855
104_421,0.8581235697940504
104_422,0.7291666666666667
104_423,0.8733333333333334
104_424,0.9411764705882353
104_425,0.8717105263157895
104_426,0.8412698412698412
104_427,0.925
104_428,0.7116666666666667
104_429,0.9081481481481481
104_430,0.7115942028985508
104_431,0.8295454545454546
104_432,0.8635057471264368
104_433,0.8330683624801273
104_434,0.863
104_435,0.888888888888889
104_436,0.8830409356725146
104_437,0.8412698412698413
104_438,0.7041666666666667
104_439,0.6974789915966386
104_440,0.9296875
104_441,0.46153846153846156
104_442,1.0
104_443,1.0
104_444,0.9027777777777778
104_445,0.7928571428571428
104_446,0.7863247863247863
104_447,0.8200000000000001
104_448,0.9001831501831502
104_449,0.8495297805642633
104_450,0.8379446640316206
104_451,0.7991452991452992
104_452,0.8395833333333333
104_453,0.8014705882352942
104_454,0.9173280423280423
104_455,0.8636363636363635
104_456,0.7657228017883756
104_457,0.8287617554858935
104_458,0.8128858024691358
104_459,0.8875000000000001
104_460,0.8571428571428571
104_461,-1.0
105_408,0.9523809523809524
105_409,0.9047619047619048
105_410,0.8663967611336032
105_411,0.8511814982403216
105_412,0.8621848739495799
105_413,0.8455172413793103
105_414,0.856140350877193
105_415,0.8235294117647058
105_416,0.8737727910238429
105_417,0.8528708133971292
105_418,0.824731182795699
105_419,0.8449328449328449
105_420,0.7848484848484849
105_421,0.7777777777777777
105_422,0.8214285714285714
105_423,0.8257575757575757
105_424,0.8099547511312217
105_425,0.8597883597883598
105_426,0.7521367521367521
105_427,0.8582995951417004
105_428,0.791025641025641
105_429,0.9070208728652751
105_430,0.8876117496807151
105_431,0.9132653061224489
105_432,0.8571428571428571
105_433,0.8662644544997486
105_434,0.8486809357889498
105_435,0.8213675213675213
105_436,0.8179487179487179
105_437,0.8667763157894737
105_438,0.7894736842105263
105_439,0.8166666666666667
105_440,0.7666666666666666
105_441,0.8492063492063493
105_442,0.5625
105_443,0.7897435897435897
105_444,0.9
105_445,0.8803418803418803
105_446,0.8686868686868687
105_447,0.8290598290598291
105_448,0.9122727272727273
105_449,0.7648809523809524
105_450,0.9008620689655172
105_451,0.874074074074074
105_452,0.8809523809523809
105_453,0.8324514991181658
105_454,0.8067542213883677
105_455,0.8978978978978979
105_456,0.8460144927536232
105_457,0.8661971830985915
105_458,0.8585185185185185
105_459,0.8324808184143222
105_460,0.6481481481481481
105_461,-1.0
106_408,1.0
106_409,0.9671052631578947
106_410,0.8154761904761905
106_411,0.8775641025641026
106_412,0.8455882352941176
106_413,0.8218954248366013
106_414,0.8920634920634921
106_415,0.6982248520710058
106_416,0.7777777777777778
106_417,0.8601532567049808
106_418,0.8812030075187969
106_419,0.7714987714987716
106_420,0.8309178743961352
106_421,0.9128787878787878
106_422,0.8859649122807017
106_423,0.9109697933227345
106_424,0.8986175115207373
106_425,0.8812316715542522
106_426,0.5814814814814815
106_427,0.724
106_428,0.9464285714285714
106_429,0.8068181818181818
106_430,0.8660714285714286
106_431,0.7612244897959183
106_432,0.8138297872340426
106_433,0.7925531914893617
106_434,0.8364548494983278
106_435,0.8708595387840672
106_436,0.8351726593093627
106_437,0.8789772727272727
106_438,0.7888563049853373
106_439,0.7572463768115941
106_440,0.7261904761904763
106_441,0.7142857142857143
106_442,0.6083916083916084
106_443,0.7155555555555556
106_444,0.755
106_445,0.7938461538461539
106_446,0.8194070080862534
106_447,0.9249999999999999
106_448,0.8502702702702702
106_449,0.8866666666666667
106_450,0.8506097560975611
106_451,0.8496732026143791
106_452,0.8426573426573427
106_453,0.8066980023501763
106_454,0.8200395517468689
106_455,0.8367252543940795
106_456,0.8443846342060191
106_457,0.7928571428571429
106_458,0.8079096045197739
106_459,0.8059895833333334
106_460,0.8611111111111112
106_461,-1.0
107_408,0.8
107_409,0.8470588235294118
107_410,0.7866666666666666
107_411,0.8286004056795132
