geopixel,auc
100_408,0.7714285714285714
100_409,0.9176201372997712
100_410,0.7361853832442068
100_411,0.8361976369495167
100_412,0.8634984833164813
100_413,0.7663157894736842
100_414,0.8356854838709677
100_415,0.8855967078189301
100_416,0.8413793103448275
100_417,0.8367003367003367
100_418,0.799890350877193
100_419,0.8732545649838883
100_420,0.8331611570247933
100_421,0.7949260042283298
100_422,0.811965811965812
100_423,0.8413978494623655
100_424,0.8437500000000001
100_425,0.8315789473684211
100_426,0.8842592592592593
100_427,0.8560606060606061
100_428,0.8920000000000001
100_429,0.9455535390199636
100_430,0.838392857142857
100_431,0.8215739484396201
100_432,0.8659574468085107
100_433,0.8242835595776772
100_434,0.8620689655172414
100_435,0.925
100_436,0.84
100_437,0.7880434782608696
100_438,0.8181818181818182
100_439,0.8276923076923077
100_440,0.8839285714285714
100_441,0.7976190476190477
100_442,0.8787878787878788
100_443,0.6539589442815249
100_444,0.8333333333333334
100_445,0.8119601328903654
100_446,0.8514492753623188
100_447,0.74
100_448,0.8489702517162472
100_449,0.7647058823529411
100_450,0.7919799498746867
100_451,0.7819548872180451
100_452,0.9251336898395722
100_453,0.8770833333333334
100_454,0.8571428571428571
100_455,1.0
100_456,-1.0
101_408,0.875
101_409,0.7967032967032968
101_410,0.8921875
101_411,0.7735849056603774
101_412,0.7602820211515864
101_413,0.7523629489603024
101_414,0.8518518518518519
101_415,0.8595959595959596
101_416,0.7106250000000001
101_417,0.7748275862068965
101_418,0.881101376720901
101_419,0.8140916808149407
101_420,0.8664285714285714
101_421,0.7720588235294118
101_422,0.8058943089430893
101_423,0.9199999999999999
101_424,0.8571428571428571
101_425,0.8400000000000001
101_426,0.888888888888889
101_427,0.8461538461538463
101_428,0.8546195652173914
101_429,0.7513368983957219
101_430,0.9148073022312373
101_431,0.8467105263157895
101_432,0.7617349970291147
101_433,0.815803244374673
101_434,0.7963133640552995
101_435,0.7780748663101604
101_436,0.7717391304347825
101_437,0.8659611992945326
101_438,0.8496732026143792
101_439,0.8458333333333333
101_440,1.0
101_441,0.8782051282051282
101_442,0.9127272727272726
101_443,0.7675606641123883
101_444,0.8496732026143791
101_445,0.8458035133376709
101_446,0.8225913621262458
101_447,0.8446455505279035
101_448,0.8917378917378918
101_449,0.8839285714285714
101_450,0.8195488721804511
101_451,0.825
101_452,0.8099173553719008
101_453,0.8040540540540541
101_454,0.8189102564102565
101_455,0.7222222222222222
101_456,-1.0
102_408,0.7600000000000001
102_409,0.9090909090909091
102_410,0.650909090909091
102_411,0.8938869665513264
102_412,0.8452380952380952
102_413,0.8323045267489713
102_414,0.7873170731707317
102_415,0.7888372093023256
102_416,0.78515625
102_417,0.7983739837398374
102_418,0.86907970735464
102_419,0.8042526579111945
102_420,0.8177387914230019
102_421,0.8787878787878788
102_422,0.8545454545454545
102_423,0.7888888888888889
102_424,0.9083333333333333
102_425,0.9
102_426,0.92
102_427,0.84
102_428,0.6938775510204082
102_429,0.8588235294117648
102_430,0.7123015873015873
102_431,0.7944444444444445
102_432,0.7760416666666667
102_433,0.8997975708502025
102_434,0.9003623188405797
102_435,0.8225
102_436,0.7941176470588236
102_437,0.7809523809523811
102_438,0.8352941176470589
102_439,0.8972222222222223
102_440,0.8051948051948052
102_441,0.7222222222222222
102_442,0.7428571428571429
102_443,0.7676767676767677
102_444,0.7493606138107416
102_445,0.8804347826086958
102_446,0.8295739348370927
102_447,0.8307783018867925
102_448,0.9069627851140456
102_449,0.8609467455621302
102_450,0.8598901098901098
102_451,0.7585185185185186
102_452,0.8868778280542986
102_453,0.8448275862068966
102_454,0.9225874867444326
102_455,0.8477951635846372
102_456,0.7521008403361344
102_457,0.9090909090909091
102_458,0.39999999999999997
102_459,-1.0
103_408,0.5
